"Year","Total Biomass (mt)","Spawning Output","Total Biomass 3+ (mt)","Fraction Unfished","Age-0 Recruits","Total Mortality (mt)","1-SPR","Exploitation Rate"
1916,4654.72,476.405,4628.2,1.00189272457703,561.086,3.96662,0.0117956,0.000857054578453827
1917,4652.55,476.116,4626.01,1.00128494968507,561.544,6.22764,0.018428,0.00134622277081113
1918,4648.52,475.606,4621.96,1.00021240575809,562.016,7.49617,0.0221353,0.0016218595574172
1919,4643.73,474.995,4617.15,0.998927456073017,562.521,4.90674,0.0145971,0.00106272050940515
1920,4641.93,474.709,4615.32,0.998325990262984,563.111,5.06229,0.0150617,0.00109684485582798
1921,4640.39,474.447,4613.76,0.997774997108338,563.753,4.31441,0.0128657,0.000935117994867527
1922,4639.98,474.309,4613.32,0.99748477933986,564.465,3.70049,0.0110535,0.000802131653559692
1923,4640.54,474.279,4613.85,0.997421688520625,565.247,3.88782,0.0116075,0.000842641178191749
1924,4641.27,474.267,4614.54,0.997396452192932,566.094,2.56532,0.00768327,0.000555921066888574
1925,4643.61,474.436,4616.84,0.997751863807952,567.032,3.83868,0.0114565,0.000831451815527504
1926,4645.02,474.498,4618.22,0.997882251501036,568.031,4.89271,0.0145617,0.00105943631962098
1927,4645.79,474.481,4618.94,0.997846500036803,569.102,3.63646,0.0108553,0.000787293188480474
1928,4648.16,474.638,4621.26,0.998176675324129,570.28,5.21123,0.0161358,0.00112766431665823
1929,4649.31,474.669,4622.35,0.998241869170671,571.735,6.1767,0.0195964,0.00133626834835095
1930,4649.86,474.638,4622.85,0.998176675324129,573.32,8.95725,0.0278576,0.0019376034264577
1931,4648.22,474.345,4621.13,0.997560488322941,575.015,11.14586,0.0346353,0.00241193387764465
1932,4645.06,473.87,4617.9,0.996561550351731,576.853,11.7327,0.036819,0.00254070031832651
1933,4642.07,473.395,4614.83,0.995562612380522,578.842,12.10799,0.0383985,0.0026237131161928
1934,4639.52,472.951,4612.2,0.994628868255854,580.978,12.01254,0.0386323,0.00260451411473917
1935,4637.93,472.596,4610.51,0.993882293561582,583.361,15.34869,0.0485631,0.00332906554806301
1936,4634.08,471.964,4606.55,0.992553180303046,585.883,16.09131,0.0511644,0.00349313694630472
1937,4630.62,471.353,4602.98,0.991268230617975,588.62,18.78043,0.0594779,0.00408005900525312
1938,4625.77,470.568,4598.01,0.989617354181344,591.597,17.92942,0.057092,0.00389938690868441
1939,4623.17,469.99,4595.27,0.98840180439743,594.93,16.05451,0.0512532,0.00349370330796667
1940,4623.92,469.733,4595.88,0.987861326379323,598.735,20.77598,0.0662614,0.00452056624629016
1941,4621.41,469.134,4593.2,0.986601613021945,603.036,19.9578,0.0635597,0.00434507532874684
1942,4621.42,468.758,4593.02,0.985810874754209,607.987,9.63648,0.0316658,0.00209807055053102
1943,4633.41,469.611,4604.8,0.98760475704777,613.758,10.39762,0.0336483,0.00225799600416956
1944,4646.26,470.538,4617.41,0.98955426336211,620.139,14.81091,0.045603,0.00320762288815591
1945,4656.67,471.143,4627.54,0.990826594883334,626.934,29.5967,0.0864525,0.00639577399655108
1946,4654.93,470.353,4625.49,0.989165203310165,633.726,38.0312,0.110445,0.00822209106494663
1947,4647.63,468.923,4617.87,0.986157874259997,640.259,18.33539,0.0573415,0.00397052970308822
1948,4662.43,469.849,4632.35,0.988105277547029,646.604,31.93162,0.0976963,0.00689317948773301
1949,4666.24,469.613,4635.86,0.987608963102386,651.822,34.1239,0.105642,0.00736085645381871
1950,4670.53,469.428,4639.86,0.987219903050441,655.831,39.31463,0.120944,0.00847323626143892
1951,4672.45,468.979,4641.55,0.986275643789235,658.614,53.90552,0.160555,0.0116136893925521
1952,4662.94,467.301,4631.86,0.98274676396673,660.493,45.06472,0.137441,0.00972929233612415
1953,4665.37,466.835,4634.17,0.981766753241291,663.032,36.30147,0.113294,0.00783343511351547
1954,4679.27,467.596,4647.97,0.983367157022534,667.096,46.94161,0.14225,0.0100993788686244
1955,4684.85,467.59,4653.41,0.983354538858687,672.076,52.40435,0.157879,0.0112614942590487
