caption,altcaption,label,filename,loc
Summary of the recreational length samples by source for the CPFV and PR fleets.,NA,rec-len-samps,rec_north_sample_size_by_program.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/copper_rockfish_2023/data/rec_bds/forSS
Summary of the number of trips and length samples for fish landed dead by commercial fisheries.,NA,dead-com-len,north_dead_trips_and_samples.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/copper_rockfish_2023/data/pacfin_bds/forSS
Summary of the number of trips and length samples for fish landed live by commercial fisheries.,NA,live-com-len,north_live_trips_and_samples.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/copper_rockfish_2023/data/pacfin_bds/forSS
Number of records filtered during data processing for the ROV survey data and the total remaining records.,NA,rov-filtered,rov_removed_records_north.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/copper_rockfish_2023/data/survey_indices/rov/forSS
Model selection for the ROV survey.,NA,rov-model-selection,north_model_selection.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/copper_rockfish_2023/data/survey_indices/rov/forSS
Number of transects and number of observations of copper rockfish for each group and survey year.,NA,rov-obs,north_copper_obs_designation_mpa_group_super_year.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/copper_rockfish_2023/data/survey_indices/rov/forSS
Number of ages by year and source used as conditional-age-at-length data to inform estimation of growth.,NA,growth-age-samps,north_growth_age_samples.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/copper_rockfish_2023/data/ages/forSS
"The total number of drifts, length, and age samples collected by year from the CCFRP survey north of Point Conception.",NA,ccfrp-samps,north_ccfrp_drifts_length_ages.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/copper_rockfish_2023/data/survey_indices/ccfrp/north/forSS
Specifications and structure of the base model,NA,model-structure,model_structure_north.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/copper_rockfish_2023/models
"The total number of tows between 55-183 m,  the number of positive tows, the total number of copper rockfish observed, and the number of lengths and agec collected north of Point Conception in California by the NWFSC WCGBT survey.",NA,wcgbt-pos-tows,wcgbt_samples_by_year.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/copper_rockfish_2023/data/wcgbt/north/forSS
